LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),HumanEval pass@1
llama-2-7b.Q2_K,HumanEval/86,35.301252365112305,794.2643916606903,194.89630941919225,69.02705522159998,22.5,5.794223785400391,3.6006916509280096,6.438866738364129e-05,1.8239768583189316e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/87,61.82951092720032,1391.142382621765,339.0089226213277,-36.56402925119996,22.5,5.794223785400391,3.7484520886481008,0.0001030514926577367,1.6667039915465646e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/88,36.87485313415527,829.6711975336074,203.990011925408,-9.340007471999977,22.5,5.794223785400391,3.825131774086884,6.232795340523936e-05,1.6902563158280945e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/89,46.903109550476074,1055.301833152771,252.59469085004548,-366.80429344320004,22.5,5.794223785400391,28.96805030354733,5.726363232799323e-05,1.2208920235100273e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/90,20.20633053779602,454.63585495948786,107.39645087789178,-115.69609255679997,22.5,5.794223785400391,27.649304442656646,2.7158690702153004e-05,1.3440684171404881e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/91,15.962711572647095,359.1580009460449,82.99675644730452,-306.070244856,22.5,5.794223785400391,21.36699619618025,8.280477979123338e-06,5.187388083433363e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/92,59.41955018043518,1336.9213718175888,325.0951842425747,107.63408610719998,22.5,5.794223785400391,24.59810696263672,0.00010767980058852429,1.812194812339383e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/93,76.64060258865356,1724.390485882759,415.19364530471194,-339.395271516,22.5,5.794223785400391,21.16656791729704,0.00010953799174378186,1.4292423081756752e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/94,57.38632845878601,1291.1764901876452,313.25381240687244,105.1870841496,22.5,5.794223785400391,28.592189168283507,0.00010402689372734979,1.8127469820980153e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/95,33.98816990852356,764.7202455997467,187.2887065423347,-11.965009571999959,22.5,5.794223785400391,3.5478035129785654,5.7199846042167794e-05,1.6829339795616122e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/96,45.206015825271606,1017.1192306280136,252.30166307417036,-188.7041509632,22.5,5.794223785400391,27.80014286257674,6.575951240200073e-05,1.4546628629289438e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/97,48.045878648757935,1081.0125821828842,259.1552909342636,-277.5102220079999,22.5,5.794223785400391,27.53726491478884,6.46606517912256e-05,1.345810579590622e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/98,19.691899299621582,443.0599933862686,104.5791357163098,-158.67212693759998,22.5,5.794223785400391,27.528169615145575,2.36678857570125e-05,1.2019097496333087e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/99,46.93270134925842,1055.9679061174393,252.719054559032,-281.86722549359996,22.5,5.794223785400391,27.997631478374963,6.24799842919482e-05,1.3312675915880439e-06,0.042682926829268296
